subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
517331,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,ปัญญาประดิษฐ์,Artificial Intelligence,3(3-0-6),517 211 โครงสร้างข้อมูล,,517331,517331
517392,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมความพร้อมสำหรับโครงงานวิจัย,Preparation of Research Project,1(0-2-1),,,517392,517392
520311,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,กฎหมายและจรรยาบรรณสำหรับเทคโนโลยีสารสนเทศ,Laws and Ethics in Information Technology,3(3-0-6),,,520311,520311
------,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,6,,,,
------,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกเสรี,,2,,,,
517493,BSCS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,โครงงานวิจัย 1,Research Project I,1(0-2-1),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วิชานี้วัดผลการศึกษาเป็น S หรือ U ,517493,517493
------,BSCS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
------,BSCS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,วิชาเลือกเสรี,,2,,,,
517494,BSCS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,โครงงานวิจัย 2,Research Project II,2(0-4-2),517 493 โครงงานวิจัย 1,วิชานี้วัดผลการศึกษาเป็น S หรือ U,517494,517494
------,BSCS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
SUxxx,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือก หมวดวิชาศึกษาทั่วไป,,3(3-0-6),,,,
517331,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,ปัญญาประดิษฐ์,Artificial Intelligence,3(3-0-6),517 211 โครงสร้างข้อมูล,,517331,517331
517392,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมความพร้อมสำหรับโครงงานวิจัย,Preparation of Research Project,1(0-2-1),,,517392,517392
517393,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การเตรียมความพร้อมสำหรับสหกิจศึกษา,Preparation for Cooperative Education,1(0-2-1),,,517393,517393
520311,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,กฎหมายและจรรยาบรรณสำหรับเทคโนโลยีสารสนเทศ,Laws and Ethics in Information Technology,3(3-0-6),,,520311,520311
------,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,6,,,,
------,BSCS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกเสรี,,2,,,,
517496,BSCS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 1,สหกิจศึกษา,Cooperative Education,6,517 393 การเตรียมความพร้อมสำหรับสหกิจศึกษา,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วิชานี้วัดผลการศึกษาเป็น S หรือ U ,517496,517496
517497,BSCS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,สัมมนาโครงงานสหกิจศึกษา,Cooperative Education Project Seminar,2(0-4-2),,โดยความยินยอมของภาควิชาคอมพิวเตอร์ วิชานี้วัดผลการศึกษาเป็น S หรือ U ,517497,517497
------,BSCS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกเสรี,,2,,,,
SU101,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,ศิลปะศิลปากร,Silpakorn Arts,3(3-0-6),,,SU101,
SU201,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,ภาษาอังกฤษในยุคดิจิทัล,English in the Digital Era,3(2-2-5),,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B1 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่า ตั้งแต่ระดับ B1 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU201,SU201,
SU301,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,พลเมืองตื่นรู้,Active Citizen,3(3-0-6),,,SU301,
511113,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,แคลคูลัสสำหรับเทคโนโลยีสารสนเทศ,Calculus for Information Technology,3(3-0-6),,*511 100  ความรู้พื้นฐานสำหรับแคลคูลัส *อาจเรียนพร้อมกันได้,511113,511113
515105,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,สถิติสำหรับเทคโนโลยีสารสนเทศ,Statistics for Information Technology,3(2-2-5),,,515105,515105
517121,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,Computer Programming Skill I,4(2-4-6),,,517121,517121
520101,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,พื้นฐานคอมพิวเตอร์และวิทยาการสารสนเทศ,Foundation of Computer and Informatics,3(2-2-5),,,520101,520101
SU102,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ศิลปากรสร้างสรรค์,Creative Silpakorn,3(3-0-6),,,SU102,
SU202,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ภาษาอังกฤษเพื่อการสื่อสารนานาชาติ,English for International Communication,3(2-2-5),SU201 ภาษาอังกฤษในยุคดิจิทัล,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B2 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่าตั้งแต่ระดับ B2 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU202,SU202,
SU203,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ทักษะการสื่อสารอย่างสร้างสรรค์,Creative Communication Skills,3(3-0-6),,,SU203,
SU401,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ความเป็นผู้ประกอบการที่ขับเคลื่อนด้วยนวัตกรรม,Innovation-Driven Entrepreneurship,3(3-0-6),,,SU401,
517122,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2,Computer Programming Skill II,4(2-4-6),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล หรือ 517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,517122,517122
520111,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,โครงสร้างเชิงการคำนวณแบบไม่ต่อเนื่อง,Discrete Computational Structures,3(3-0-6),,,520111,520111
520112,BSIT65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,เว็บเทคโนโลยี,Web Technology,1(0-2-1),,,520112,520112
SU402,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,นวัตกรรมและการออกแบบ,Innovation and Design,3(3-0-6),,,SU402,
520213,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,โครงสร้างข้อมูลพื้นฐานและการประยุกต์,Fundamental of Data Structures and Applications,3(2-2-5),517 122 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 2,,520213,520213
520214,BSIT65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,ดิจิทัลแพลตฟอร์มและโครงสร้างพื้นฐาน,Digital Platform and Infrastructure,3(2-2-5),,,520214,520214
